index,player_name,player_team,game_date,events,launch_speed,launch_angle,hit_distance_sc,hit_direction,total_dongs
1282,Byron Buxton,MIN,2021-04-21,home_run,111,25,423,Left-Center,30
1286,Jace Peterson,MIL,2021-04-21,home_run,101.4,31,387,Right,30
1287,Yonathan Daza,COL,2021-04-21,home_run,100.2,30,415,Left,30
1330,Brandon Lowe,TB,2021-04-21,home_run,108.5,29,432,Right-Center,30
1332,Omar Narváez,MIL,2021-04-21,home_run,103.1,29,399,Right,30
1345,Mike Trout,LAA,2021-04-21,home_run,107.4,32,384,Right,30
1355,Josh Donaldson,MIN,2021-04-21,home_run,110.7,25,412,Left,30
1357,Francisco Lindor,NYM,2021-04-21,home_run,107.6,29,386,Right,30
1360,Pete Alonso,NYM,2021-04-21,home_run,115.4,28,429,Left,30
1384,Buster Posey,SF,2021-04-20,home_run,101.5,40,396,Left,30
1385,Randal Grichuk,TOR,2021-04-20,home_run,99.9,28,379,Left,30
1394,Tommy La Stella,SF,2021-04-20,home_run,100.4,34,390,Right,30
1395,Josh Bell,WSH,2021-04-20,home_run,101,34,386,Right,30
1396,Mike Trout,LAA,2021-04-20,home_run,115.5,25,446,Left-Center,30
1399,J.D. Davis,NYM,2021-04-20,home_run,110.4,27,432,Left-Center,30
1403,Gio Urshela,NYY,2021-04-20,home_run,109,25,437,Center,30
1407,Buster Posey,SF,2021-04-20,home_run,105.1,26,428,Left-Center,30
1413,José Abreu,CWS,2021-04-20,home_run,115.6,25,458,Left,30
1423,Jordan Luplow,CLE,2021-04-20,home_run,105.9,32,381,Left,30
1425,Bo Bichette,TOR,2021-04-20,home_run,105.3,40,380,Left,30
41,Aaron Judge,NYY,2021-04-30,home_run,111.3,26,436,Center,29
43,Alejandro Kirk,TOR,2021-04-30,home_run,109.4,20,428,Left-Center,29
69,Bo Bichette,TOR,2021-04-30,home_run,105,27,420,Right-Center,29
72,Carlos Santana,KC,2021-04-30,home_run,104.9,31,424,Right-Center,29
189,Josh Rojas,ARI,2021-04-29,home_run,95,33,379,Right,29
199,Travis Shaw,MIL,2021-04-29,home_run,97.5,32,373,Right,29
303,Paul Goldschmidt,STL,2021-04-28,home_run,105.4,32,431,Center,29
320,Freddie Freeman,ATL,2021-04-28,home_run,102.3,27,379,Right,29
384,Jorge Mateo,SD,2021-04-28,home_run,109.2,19,405,Left,29
387,Jake Cronenworth,SD,2021-04-28,home_run,108.7,20,409,Right,29
479,Tyrone Taylor,MIL,2021-04-27,home_run,106.2,27,433,Center,29
480,Nick Solak,TEX,2021-04-27,home_run,98,29,380,Left,29
492,Giancarlo Stanton,NYY,2021-04-27,home_run,114.1,27,434,Center,29
525,Jonathan Schoop,DET,2021-04-27,home_run,104.7,25,419,Left-Center,29
545,Yadiel Hernandez,WSH,2021-04-27,home_run,100,30,404,Left-Center,29
555,Brandon Crawford,SF,2021-04-27,home_run,102,30,370,Right,29
592,Dansby Swanson,ATL,2021-04-26,home_run,104.4,29,410,Right-Center,29
656,Nate Lowe,TEX,2021-04-26,home_run,112.7,21,428,Right-Center,29
694,Pete Alonso,NYM,2021-04-25,home_run,109.1,24,439,Center,29
772,Tyler O'Neill,STL,2021-04-25,home_run,104.6,30,419,Right-Center,29
786,Shohei Ohtani,LAA,2021-04-25,home_run,107.1,27,440,Right-Center,29
875,Michael Conforto,NYM,2021-04-24,home_run,107.1,24,376,Right,29
895,Rhys Hoskins,PHI,2021-04-24,home_run,110.1,25,435,Center,29
1106,Raimel Tapia,COL,2021-04-23,home_run,95.5,36,379,Right,29
1112,Giancarlo Stanton,NYY,2021-04-23,home_run,115.7,19,418,Right-Center,29
1126,Yuli Gurriel,HOU,2021-04-23,home_run,98.5,31,380,Left,29
1182,Rafael Devers,BOS,2021-04-22,home_run,108.2,24,427,Right-Center,29
1277,Javier Báez,CHC,2021-04-21,home_run,103.9,29,395,Left-Center,29
1308,Josh VanMeter,ARI,2021-04-21,home_run,99,28,386,Right,29
1374,Carlos Santana,KC,2021-04-21,home_run,104.6,24,379,Right,29
1437,Billy McKinney,MIL,2021-04-20,home_run,104.6,30,419,Right-Center,29
103,Alex Kirilloff,MIN,2021-04-30,home_run,104.5,32,394,Left-Center,28
196,Matt Chapman,OAK,2021-04-29,home_run,103.9,22,382,Left,28
277,Lourdes Gurriel Jr.,TOR,2021-04-28,home_run,100.2,29,383,Right-Center,28
286,Jacob Stallings,PIT,2021-04-28,home_run,100.7,33,402,Left-Center,28
314,Kolten Wong,MIL,2021-04-28,home_run,101.4,36,366,Right,28
468,Trea Turner,WSH,2021-04-27,home_run,101.7,33,413,Left-Center,28
582,Kyle Seager,SEA,2021-04-26,home_run,104.8,26,416,Right-Center,28
601,Kris Bryant,CHC,2021-04-26,home_run,102.3,40,359,Left,28
667,Corey Dickerson,MIA,2021-04-26,home_run,106.3,27,432,Center,28
718,Hunter Dozier,KC,2021-04-25,home_run,109.4,22,396,Left-Center,28
816,Gregory Polanco,PIT,2021-04-25,home_run,109.6,26,419,Right-Center,28
960,Willie Calhoun,TEX,2021-04-24,home_run,104.2,25,418,Right-Center,28
984,Randal Grichuk,TOR,2021-04-23,home_run,107.8,20,443,Center,28
1092,Brandon Nimmo,NYM,2021-04-23,home_run,103.3,29,366,Right,28
108,Matt Carpenter,STL,2021-04-30,home_run,101.1,29,398,Right-Center,27
116,J.D. Martinez,BOS,2021-04-30,home_run,98.8,29,402,Left-Center,27
143,Alejandro Kirk,TOR,2021-04-30,home_run,107,23,435,Center,27
294,Gio Urshela,NYY,2021-04-28,home_run,109.8,20,386,Left,27
419,Brett Phillips,TB,2021-04-27,home_run,105.4,29,417,Left-Center,27
451,Will Smith,LAD,2021-04-27,home_run,106.7,25,425,Left-Center,27
461,Aaron Judge,NYY,2021-04-27,home_run,116.2,19,397,Left-Center,27
596,Albert Pujols,LAA,2021-04-26,home_run,104.3,29,425,Center,27
612,Kyle Lewis,SEA,2021-04-26,home_run,107.7,25,429,Center,27
696,Mike Ford,NYY,2021-04-25,home_run,109.1,20,409,Right-Center,27
734,Austin Hays,BAL,2021-04-25,home_run,104.9,27,390,Right-Center,27
847,Jon Berti,MIA,2021-04-24,home_run,103.7,29,406,Left-Center,27
893,Kyle Seager,SEA,2021-04-24,triple,103.7,37,406,Right-Center,27
927,Rhys Hoskins,PHI,2021-04-24,home_run,98.7,31,408,Right-Center,27
988,Nick Solak,TEX,2021-04-23,home_run,103,32,383,Left-Center,27
998,Kolten Wong,MIL,2021-04-23,home_run,98.9,29,398,Right-Center,27
1237,Salvador Perez,KC,2021-04-21,single,107.1,24,392,Right-Center,27
1246,Justin Upton,LAA,2021-04-21,home_run,116.5,18,370,Left,27
1266,Shohei Ohtani,LAA,2021-04-21,home_run,107.2,38,402,Right-Center,27
1268,Matt Olson,OAK,2021-04-21,home_run,107.8,33,421,Center,27
1305,Yuli Gurriel,HOU,2021-04-21,home_run,99.8,25,397,Left-Center,27
1333,Hunter Dozier,KC,2021-04-21,home_run,104.6,22,384,Left,27
1372,Kyle Tucker,HOU,2021-04-21,field_out,103.2,33,409,Right-Center,27
1378,Phillip Evans,PIT,2021-04-21,home_run,107.9,21,419,Left-Center,27
1419,Trey Mancini,BAL,2021-04-20,home_run,105.5,27,422,Center,27
52,Eugenio Suárez,CIN,2021-04-30,home_run,107.6,33,423,Center,26
139,Sean Murphy,OAK,2021-04-30,home_run,104,31,408,Right-Center,26
191,Matt Carpenter,STL,2021-04-29,home_run,97.3,30,387,Right-Center,26
259,Jose Trevino,TEX,2021-04-29,home_run,101.9,26,411,Left-Center,26
317,Luis Torrens,SEA,2021-04-28,home_run,107.7,22,426,Left-Center,26
433,Vladimir Guerrero Jr.,TOR,2021-04-27,home_run,110.5,20,436,Center,26
