stadium,full_team_name,team,team_abbr,x,y,d_wall,segment,spray_angle_stadia,fence_height,orientation
LoanDepot Park,Miami Marlins,marlins,MIA,98.73431230028939,392.29684824984776,404.5309401914459,outfield_outer,10.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,85.67900262048683,398.837931569718,407.93698918932625,outfield_outer,9.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,72.22291504640098,404.5206634370544,410.9174084963477,outfield_outer,7.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,58.414178293099894,409.1732247111791,413.3218407563325,outfield_outer,6.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,44.36434215668127,413.16634474840896,415.54136170513306,outfield_outer,4.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,30.07650714764837,416.1873443244706,417.2726948388284,outfield_outer,3.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,15.708967201539393,418.8133222147432,419.1078268358745,outfield_outer,1.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,1.208970171867132,420.581130369776,420.5828679725257,outfield_outer,0.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-13.327910484362244,421.9748629058053,422.1852888510593,outfield_outer,-1.4,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-27.915530467767507,422.6592841154465,423.5801545047626,outfield_outer,-2.8,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-42.514308750398826,422.2319169146942,424.3668909210301,outfield_outer,-4.3,12,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-52.309165430661274,412.3651552676246,415.66966459791655,outfield_outer,-5.4,12,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-61.07118554675709,400.8713461655981,405.4966410227157,outfield_outer,-6.5,12,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-72.69733722207131,392.0678244242574,398.75065114423313,outfield_outer,-7.9,12,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-85.85557663967926,385.8291982136997,395.2661764360293,outfield_outer,-9.4,12,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-99.62571858097046,380.98172251179693,393.7922760680186,outfield_outer,-11,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-112.95934740393525,375.0401270798616,391.6821556900463,outfield_outer,-12.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-123.82248550945324,365.6025471509616,386.00159378040115,outfield_outer,-14,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-135.8419307139179,357.3018738695542,382.2533965980939,outfield_outer,-15.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-147.78990003358965,348.89847369411734,378.9089593794572,outfield_outer,-17.2,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-159.4144472184062,340.06651818086914,375.5771595419634,outfield_outer,-18.8,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-170.66373520527654,330.74836113750627,372.18354196466424,outfield_outer,-20.5,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-181.90987779904873,321.4284411254074,369.33378725101,outfield_outer,-22.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-192.33872868589842,311.20975511132497,365.84928348837656,outfield_outer,-23.8,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-202.68475633297925,300.89886347019757,362.796411899864,outfield_outer,-25.5,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-211.81709168414474,289.50025842282906,358.71559759287607,outfield_outer,-27.1,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-220.9372207064569,278.0904287841787,355.1725525358935,outfield_outer,-28.8,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-229.74987641585383,266.4586955832444,351.83126945316303,outfield_outer,-30.6,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-237.4836273083098,254.06775076539427,347.77707690199867,outfield_outer,-32.3,7,ESE
LoanDepot Park,Miami Marlins,marlins,MIA,-245.10236960045543,241.6048792129595,344.16288184995636,outfield_outer,-34.1,7,ESE
Citi Field,New York Mets,mets,NYM,-247.77990609551827,238.51127462862868,343.9222441042117,outfield_outer,-34.6,8,NNE
Citi Field,New York Mets,mets,NYM,-241.4529013061975,251.74472235861396,348.8193067830334,outfield_outer,-32.9,8,NNE
Citi Field,New York Mets,mets,NYM,-235.10471158719983,264.9681453408572,354.23487046855513,outfield_outer,-31.2,8,NNE
Citi Field,New York Mets,mets,NYM,-228.76166880663402,278.19401861221894,360.17192159691143,outfield_outer,-29.6,8,NNE
Citi Field,New York Mets,mets,NYM,-217.5662787151162,287.44524750970476,360.4994534667966,outfield_outer,-27.8,8,NNE
Citi Field,New York Mets,mets,NYM,-205.63530274173635,295.9780230746259,360.4009820697626,outfield_outer,-26.1,8,NNE
Citi Field,New York Mets,mets,NYM,-193.67592095878047,304.4708365438021,360.8501803587112,outfield_outer,-24.3,8,NNE
Citi Field,New York Mets,mets,NYM,-181.655593656436,312.87416192660703,361.78584260298095,outfield_outer,-22.6,8,NNE
Citi Field,New York Mets,mets,NYM,-169.4403740237936,320.99493744701795,362.97078424569935,outfield_outer,-20.9,8,NNE
Citi Field,New York Mets,mets,NYM,-157.24178894922514,329.1403956713388,364.771682363966,outfield_outer,-19.2,8,NNE
Citi Field,New York Mets,mets,NYM,-145.07512757551729,337.33322461238635,367.2063412693785,outfield_outer,-17.5,8,NNE
Citi Field,New York Mets,mets,NYM,-132.85669311025595,345.4486005807112,370.1157069719744,outfield_outer,-15.8,8,NNE
Citi Field,New York Mets,mets,NYM,-120.58558677913486,353.48432539739963,373.4863478636441,outfield_outer,-14.1,8,NNE
Citi Field,New York Mets,mets,NYM,-108.40349477627596,361.6543022865018,377.55152236753923,outfield_outer,-12.5,8,NNE
Citi Field,New York Mets,mets,NYM,-96.52921471942119,370.2648640393804,382.6407699611334,outfield_outer,-11,8,NNE
Citi Field,New York Mets,mets,NYM,-84.69779609431967,378.9352142946657,388.2854791204265,outfield_outer,-9.4,8,NNE
Citi Field,New York Mets,mets,NYM,-72.88025148854096,387.62441332981587,394.41629893593,outfield_outer,-8,8,NNE
Citi Field,New York Mets,mets,NYM,-61.04755704725582,396.29292701728485,400.9674403556541,outfield_outer,-6.6,8,NNE
Citi Field,New York Mets,mets,NYM,-49.23985049151599,404.99503078889813,407.9773741767151,outfield_outer,-5.2,8,NNE
Citi Field,New York Mets,mets,NYM,-37.40305343219453,413.6580237920992,415.34557786695706,outfield_outer,-3.9,8,NNE
Citi Field,New York Mets,mets,NYM,-23.239184225836564,416.42766306000004,417.0756025531765,outfield_outer,-2.4,8,NNE
Citi Field,New York Mets,mets,NYM,-8.570891022729334,416.42766306000004,416.5158565223375,outfield_outer,-0.9,8,NNE
Citi Field,New York Mets,mets,NYM,6.096267893029379,416.54110313646055,416.5857115700958,outfield_outer,0.6,8,NNE
Citi Field,New York Mets,mets,NYM,20.764198130593,416.5774033200001,417.0945754632162,outfield_outer,2.1,8,NNE
Citi Field,New York Mets,mets,NYM,34.594025653887684,412.53883111445583,413.9867555710247,outfield_outer,3.6,8,NNE
Citi Field,New York Mets,mets,NYM,47.08121512263851,404.844300349614,407.5727522087224,outfield_outer,5,8,NNE
Citi Field,New York Mets,mets,NYM,59.53314937824544,397.09143829233636,401.52933422101165,outfield_outer,6.4,8,NNE
Citi Field,New York Mets,mets,NYM,71.9932664787997,389.3517840004396,395.95181793068264,outfield_outer,7.9,8,NNE
Citi Field,New York Mets,mets,NYM,84.45528705001182,381.61509731331273,390.8487917445173,outfield_outer,9.4,8,NNE
Citi Field,New York Mets,mets,NYM,96.90928908219846,373.8655107858362,386.22121959515806,outfield_outer,10.9,8,NNE
Citi Field,New York Mets,mets,NYM,109.34945738355485,366.0937557532775,382.07583256680635,outfield_outer,12.5,8,NNE
Citi Field,New York Mets,mets,NYM,121.78947268736394,358.32175717148914,378.45363959133726,outfield_outer,14.1,8,NNE
Citi Field,New York Mets,mets,NYM,134.2628015846001,350.60352105993104,375.43218944167165,outfield_outer,15.7,8,NNE
